MONTH,DIE_CLASS_CODE,WAFER_ID,PRIORITY,ROUTING CODE,OWNER,5G,MODULE,GPDW
May-21,2SN4-1701,N0266-8133,Normal,PSAW-PROBE (THIN),CHIN TIAN FU,YES,PICKWICK,53139
May-21,2SN4-1701,N0266-8158,Normal,PSAW-PROBE (THIN),CHIN TIAN FU,YES,PICKWICK,53139
May-21,2SN4-1701,N0266-8159,Normal,PSAW-PROBE (THIN),CHIN TIAN FU,YES,PICKWICK,53139
May-21,2SV1-1701,N9434-8104,Normal,PSAW-PROBE (THIN),Chuah Kar Kheng,YES,DERBY,48072
May-21,2SV1-1701,N9434-8105,Normal,PSAW-PROBE (THIN),Chuah Kar Kheng,YES,DERBY,48072
May-21,2SV1-1701,N9434-8106,Normal,PSAW-PROBE (THIN),Chuah Kar Kheng,YES,DERBY,48072
May-21,2SV1-1701,N9434-8110,Normal,PSAW-PROBE (THIN),Chuah Kar Kheng,YES,DERBY,48072
May-21,2SV1-1701,N9434-8203,Normal,PSAW-PROBE (THIN),Chuah Kar Kheng,YES,DERBY,48072
May-21,2SV1-1701,N9434-8204,Normal,PSAW-PROBE (THIN),Chuah Kar Kheng,YES,DERBY,48072
May-21,2SV1-1701,N9434-8207,Normal,PSAW-PROBE (THIN),Chuah Kar Kheng,YES,DERBY,48072
May-21,2SV1-1701,N9434-8289,Normal,PSAW-PROBE (THIN),Chuah Kar Kheng,YES,DERBY,48072
May-21,2SV1-1701,N9434-8319,Normal,PSAW-PROBE (THIN),Chuah Kar Kheng,YES,DERBY,48072
May-21,2SV1-1701,N9434-8320,Normal,PSAW-PROBE (THIN),Chuah Kar Kheng,YES,DERBY,48072
May-21,2SV1-1701,N9434-8321,Normal,PSAW-PROBE (THIN),Chuah Kar Kheng,YES,DERBY,48072
May-21,2SV1-1701,N9434-8324,Normal,PSAW-PROBE (THIN),Chuah Kar Kheng,YES,DERBY,48072
May-21,2SR5-1701,N7815-P202,Normal,CUSMT_PLASMA,Tuan Kalsum,NO,CHDR,43728
May-21,2RV5-1701,N8773-8143,Normal,PROBE-PSAW NPAD.2 (THIN),CHEN WEI YANG,NO,LGTN,27450
May-21,2RV5-1701,N8773-8150,Normal,PROBE-PSAW NPAD.2 (THIN),CHEN WEI YANG,NO,LGTN,27450
May-21,2RV5-1701,N8773-8236,Normal,PROBE-PSAW NPAD.2 (THIN),CHEN WEI YANG,NO,LGTN,27450
May-21,2RV5-1701,N8773-8240,Normal,PROBE-PSAW NPAD.2 (THIN),CHEN WEI YANG,NO,LGTN,27450
May-21,2RV5-1701,N8773-8242,Normal,PROBE-PSAW NPAD.2 (THIN),CHEN WEI YANG,NO,LGTN,27450
May-21,2SL2-1701,N9462-P225,Normal,PROBE-PSAW NPAD.2 (THIN),Tan Cheah Yin,NO,CHDR,28042
May-21,2SL2-1701,N9462-P226,Normal,PROBE-PSAW NPAD.2 (THIN),Tan Cheah Yin,NO,CHDR,28042
May-21,2SN8-1702,N1333-1095,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1702,N1333-1097,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1702,N1333-1193,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
